Row_id,State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population
66,California,Cities,Clovis,1,0,0,0,0,0,1,1,1,0,0,0,"111,759"
67,California,Cities,Commerce,1,0,0,1,0,0,0,1,0,1,0,0,"12,961"
68,California,Cities,Compton,3,3,0,0,0,0,0,3,0,1,2,0,"97,775"
69,California,Cities,Corning,1,0,0,1,0,0,0,1,1,0,0,0,"7,580"
70,California,Cities,Corona,2,1,1,0,0,0,0,2,1,0,1,0,"170,041"
71,California,Cities,Cupertino,2,0,1,1,0,0,0,2,1,0,0,1,"61,078"
72,California,Cities,Cypress,2,2,0,0,0,0,0,2,0,2,0,0,"49,223"
73,California,Cities,Daly City,1,1,0,0,0,0,0,1,0,0,1,0,"107,928"
74,California,Cities,Davis,14,8,4,1,1,0,0,14,1,7,4,2,"69,486"
75,California,Cities,Downey,1,0,0,1,0,0,0,1,0,1,0,0,"113,277"
76,California,Cities,Eastvale,1,0,1,0,0,0,0,1,1,0,0,0,"64,642"
77,California,Cities,El Cajon,4,3,0,1,0,0,0,4,1,0,2,1,"104,497"
78,California,Cities,El Cerrito,2,1,1,0,0,0,0,2,0,2,0,0,"25,793"
79,California,Cities,Elk Grove,4,2,0,2,0,0,0,4,0,1,3,0,"174,651"
80,California,Cities,El Monte,5,5,0,0,0,0,0,5,2,2,1,0,"116,464"
81,California,Cities,El Segundo,1,1,0,0,0,0,0,1,0,0,1,0,"16,881"
82,California,Cities,Encinitas,3,0,3,0,0,0,0,3,2,0,0,1,"63,700"
83,California,Cities,Escalon,1,1,0,0,0,0,0,1,0,0,0,1,"7,653"
84,California,Cities,Escondido,2,2,0,0,0,0,0,2,1,1,0,0,"153,073"
85,California,Cities,Eureka,1,0,0,1,0,0,0,1,0,1,0,0,"27,174"
86,California,Cities,Fairfield,2,1,0,1,0,0,0,2,0,1,0,1,"117,883"
87,California,Cities,Fillmore,1,0,0,1,0,0,0,1,0,0,1,0,"15,928"
88,California,Cities,Folsom,1,1,0,0,0,0,0,1,1,0,0,0,"78,916"
89,California,Cities,Fontana,1,1,0,0,0,0,0,1,0,0,1,0,"213,964"
90,California,Cities,Fort Bragg,1,0,1,0,0,0,0,1,1,0,0,0,"7,317"
91,California,Cities,Foster City,2,0,2,0,0,0,0,2,0,0,0,2,"34,993"
92,California,Cities,Fountain Valley,1,0,0,1,0,0,0,1,1,0,0,0,"56,433"
