Row_id,State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population,agency_with_state,agency_with_state_clean,lon,lat
38,California,Cities,Apple Valley,1,1,0,0,0,0,0,1,1,0,0,0,73631,"Apple Valley, California","Apple Valley, California",-117.1858759,34.5008311
39,California,Cities,Arvin,1,1,0,0,0,0,0,1,0,0,1,0,21560,"Arvin, California","Arvin, California",-118.833105,35.2017986
40,California,Cities,Azusa,3,3,0,0,0,0,0,3,0,1,1,1,50393,"Azusa, California","Azusa, California",-117.9075627,34.1336186
41,California,Cities,Bakersfield,10,3,6,1,0,0,0,10,6,2,2,0,385609,"Bakersfield, California","Bakersfield, California",-119.0187125,35.3732921
42,California,Cities,Baldwin Park,1,1,0,0,0,0,0,1,1,0,0,0,76541,"Baldwin Park, California","Baldwin Park, California",-117.9608978,34.0852868
43,California,Cities,Beaumont,1,1,0,0,0,0,0,1,0,1,0,0,48559,"Beaumont, California","Beaumont, California",-116.977248,33.9294606
44,California,Cities,Bell,2,1,0,1,0,0,0,2,1,0,NA,1,35857,"Bell, California","Bell, California",-118.1870156,33.9775142
45,California,Cities,Bellflower,1,1,0,0,0,0,0,1,0,1,0,0,77937,"Bellflower, California","Bellflower, California",-118.1170117,33.8816818
46,California,Cities,Bell Gardens,1,1,0,0,0,0,0,1,1,0,0,0,42845,"Bell Gardens, California","Bell Gardens, California",-118.1514588,33.9652918
47,California,Cities,Berkeley,17,8,5,4,0,0,0,17,5,3,5,4,123735,"Berkeley, California","Berkeley, California",-122.273042,37.8715226
48,California,Cities,Beverly Hills,5,2,3,0,0,0,0,5,0,1,2,2,34557,"Beverly Hills, California","Beverly Hills, California",-118.4003563,34.0736204
49,California,Cities,Brea,1,0,1,0,0,0,0,1,0,0,1,0,43279,"Brea, California","Brea, California",-117.9002918,33.916475
50,California,Cities,Brentwood,3,3,0,0,0,0,0,3,0,3,0,0,64118,"Brentwood, California","Brentwood, California",-121.6957863,37.931868
51,California,Cities,Buena Park,2,1,0,1,0,0,0,2,0,0,0,2,83336,"Buena Park, California","Buena Park, California",-117.9981387,33.8674044
52,California,Cities,Burbank,10,4,4,2,0,0,0,10,5,0,1,4,105041,"Burbank, California","Burbank, California",-118.3089661,34.1808392
53,California,Cities,Calabasas,2,0,2,0,0,0,0,2,0,1,1,0,24309,"Calabasas, California","Calabasas, California",-118.6614809,34.1367208
54,California,Cities,Calimesa,1,1,0,0,0,0,0,1,0,0,1,0,8953,"Calimesa, California","Calimesa, California",-117.0619755,34.0039039
55,California,Cities,Camarillo,2,2,0,0,0,0,0,2,1,1,0,0,68218,"Camarillo, California","Camarillo, California",-119.0376023,34.2163937
56,California,Cities,Capitola,1,0,0,1,0,0,0,1,1,0,0,0,10218,"Capitola, California","Capitola, California",-121.953293,36.9752283
57,California,Cities,Carlsbad,6,4,2,0,0,0,0,6,3,1,2,0,116739,"Carlsbad, California","Carlsbad, California",-117.3505939,33.1580933
58,California,Cities,Carson,1,1,0,0,0,0,0,1,1,0,0,0,92895,"Carson, California","Carson, California",-118.281693,33.8316745
59,California,Cities,Central Marin,1,1,0,0,0,0,0,1,1,0,0,0,35033,"Central Marin, California","Central Marin, California",-122.7633036,38.083403
60,California,Cities,Chino Hills,1,1,0,0,0,0,0,1,1,0,0,0,81177,"Chino Hills, California","Chino Hills, California",-117.7325848,33.9898188
61,California,Cities,Chula Vista,2,1,1,0,0,0,0,2,0,0,1,1,274370,"Chula Vista, California","Chula Vista, California",-117.0841955,32.6400541
62,California,Cities,Citrus Heights,3,3,0,0,0,0,0,3,1,0,2,0,88603,"Citrus Heights, California","Citrus Heights, California",-121.2810611,38.7071247
63,California,Cities,Claremont,1,1,0,0,0,0,0,1,0,0,0,1,36178,"Claremont, California","Claremont, California",-117.7197785,34.0966764
64,California,Cities,Clayton,1,1,0,0,0,0,0,1,0,0,1,0,12330,"Clayton, California","Clayton, California",-121.9357925,37.9410341
65,California,Cities,Clearlake,2,2,0,0,0,0,0,2,1,0,1,0,15037,"Clearlake, California","Clearlake, California",-122.6263728,38.9582307
66,California,Cities,Clovis,1,0,0,0,0,0,1,1,1,0,0,0,111759,"Clovis, California","Clovis, California",-119.7029194,36.8252277
67,California,Cities,Commerce,1,0,0,1,0,0,0,1,0,1,0,0,12961,"Commerce, California","Commerce, California",-118.1597929,34.0005691
68,California,Cities,Compton,3,3,0,0,0,0,0,3,0,1,2,0,97775,"Compton, California","Compton, California",-118.2200712,33.8958492
69,California,Cities,Corning,1,0,0,1,0,0,0,1,1,0,0,0,7580,"Corning, California","Corning, California",-122.1791556,39.9276572
