State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population,agency_with_state,lon,lat
California,Cities,Bellflower,1,0,0,1,0,0,0,1,1,0,0,0,78806,"Bellflower, California",-118.1170117,33.8816818
California,Cities,Berkeley,13,9,2,2,0,0,0,13,5,3,2,3,122651,"Berkeley, California",NA,NA
California,Cities,Beverly Hills,1,1,0,0,0,0,0,1,0,0,1,0,35018,"Beverly Hills, California",NA,NA
California,Cities,Brea,1,0,0,1,0,0,0,1,0,1,0,0,42465,"Brea, California",-117.9002918,33.916475
California,Cities,Buena Park,3,2,1,0,0,0,0,3,0,0,2,1,83768,"Buena Park, California",-117.9981387,33.8674044
California,Cities,Burbank,1,1,0,0,0,0,0,1,0,0,1,0,105720,"Burbank, California",-118.3089661,34.1808392
California,Cities,Calabasas,3,3,0,0,0,0,0,3,1,0,2,0,24492,"Calabasas, California",-118.6614809,34.1367208
California,Cities,Camarillo,1,1,0,0,0,0,0,1,0,1,0,0,68072,"Camarillo, California",NA,NA
California,Cities,Campbell,1,0,1,0,0,0,0,1,0,1,0,0,41457,"Campbell, California",NA,NA
California,Cities,Capitola,1,1,0,0,0,0,0,1,0,0,0,1,10241,"Capitola, California",-121.953293,36.9752283
California,Cities,Central Marin,2,2,0,0,0,0,0,2,0,1,1,0,35265,"Central Marin, California",-122.5300763,37.9385128
California,Cities,Cerritos,1,0,0,1,0,0,0,1,0,0,1,0,50159,"Cerritos, California",-118.0647871,33.8583483
California,Cities,Chico,3,3,0,0,0,0,0,3,0,1,0,2,91122,"Chico, California",-121.8374777,39.7284944
California,Cities,Chino,3,2,0,1,0,0,0,3,0,1,1,1,87081,"Chino, California",-117.688944,34.0122346
California,Cities,Chino Hills,1,1,0,0,0,0,0,1,1,0,0,0,78990,"Chino Hills, California",-117.7325848,33.9898188
California,Cities,Chula Vista,5,1,2,2,0,0,0,5,1,1,3,0,270175,"Chula Vista, California",NA,NA
California,Cities,Citrus Heights,2,1,0,1,0,0,0,2,1,0,0,1,87811,"Citrus Heights, California",-121.2810611,38.7071247
California,Cities,Claremont,9,7,1,1,0,0,0,9,1,0,1,7,36553,"Claremont, California",-117.7197785,34.0966764
California,Cities,Clayton,2,0,0,2,0,0,0,2,0,2,0,0,12057,"Clayton, California",-121.9357925,37.9410341
California,Cities,Clearlake,1,1,0,0,0,0,0,1,0,0,0,1,15165,"Clearlake, California",-122.6263728,38.9582307
California,Cities,Clovis,1,1,0,0,0,0,0,1,0,0,1,0,105865,"Clovis, California",-119.7029194,36.8252277
California,Cities,Coalinga,1,0,0,1,0,0,0,1,1,0,0,0,16282,"Coalinga, California",-120.3601496,36.139678
California,Cities,Compton,1,0,0,0,0,0,1,1,0,0,1,0,98861,"Compton, California",-118.2200712,33.8958492
California,Cities,Concord,3,1,0,2,0,0,0,3,1,0,0,2,129903,"Concord, California",-122.0310733,37.9779776
California,Cities,Culver City,1,0,0,1,0,0,0,1,0,1,0,0,39880,"Culver City, California",-118.3964665,34.0211224
