State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population,agency_with_state,lon,lat
Alabama,Cities,Birmingham,9,7,1,1,0,0,0,9,3,2,2,2,212549,"Birmingham, Alabama",NA,NA
Alabama,Cities,Florence,1,1,0,0,0,0,0,1,0,0,1,0,40160,"Florence, Alabama",-87.677251,34.79981
Alabama,Cities,Foley,1,1,0,0,0,0,0,1,0,1,0,0,17639,"Foley, Alabama",NA,NA
Alabama,Cities,Hoover,3,3,0,0,0,0,0,3,1,0,1,1,85601,"Hoover, Alabama",NA,NA
Alaska,Cities,Anchorage,4,4,0,0,0,0,0,4,1,0,2,1,299097,"Anchorage, Alaska",NA,NA
Alaska,Cities,Juneau,6,6,0,0,0,0,0,6,1,1,3,1,32964,"Juneau, Alaska",NA,NA
Alaska,Cities,Wasilla,1,1,0,0,0,0,0,1,1,0,0,0,9585,"Wasilla, Alaska",NA,NA
Arizona,Cities,Apache Junction,2,2,0,0,0,0,0,2,1,0,1,0,38506,"Apache Junction, Arizona",NA,NA
Arizona,Cities,Chandler,4,2,2,0,0,0,0,4,1,0,1,2,265922,"Chandler, Arizona",-111.8412502,33.3061605
Arizona,Cities,Gilbert,1,1,0,0,0,0,0,1,1,0,0,0,255899,"Gilbert, Arizona",NA,NA
Arizona,Cities,Glendale,1,1,0,0,0,0,0,1,0,1,0,0,242938,"Glendale, Arizona",NA,NA
Arizona,Cities,Mesa,5,3,0,2,0,0,0,5,3,0,0,2,478277,"Mesa, Arizona",-111.8314724,33.4151843
Arizona,Cities,Phoenix,175,90,40,44,1,0,0,174,34,39,45,56,1586611,"Phoenix, Arizona",-112.0740373,33.4483771
Arizona,Cities,Prescott Valley,2,1,0,1,0,0,0,2,1,1,NA,NA,42900,"Prescott Valley, Arizona",NA,NA
Arizona,Cities,Sahuarita,1,1,0,0,0,0,0,1,0,0,0,1,25792,"Sahuarita, Arizona",NA,NA
Arizona,Cities,Scottsdale,4,1,3,0,0,0,0,4,0,NA,2,2,240885,"Scottsdale, Arizona",NA,NA
Arizona,Cities,St. Johns,1,0,0,1,0,0,0,1,1,0,0,0,3482,"St. Johns, Arizona",NA,NA
Arizona,Cities,Tempe,1,0,0,1,0,0,0,1,1,0,0,0,178654,"Tempe, Arizona",-111.9400054,33.4255104
Arizona,Cities,Tucson,5,1,2,2,0,0,0,5,2,1,1,1,533663,"Tucson, Arizona",-110.9747108,32.2226066
Arizona,Cities,Williams,1,0,0,1,0,0,0,1,0,1,0,0,3140,"Williams, Arizona",NA,NA
Arizona,Cities,Yuma,4,2,1,1,0,0,0,4,1,1,2,0,94696,"Yuma, Arizona",NA,NA
Arizona,Universities and Colleges,"Arizona State University, Main Campus",1,1,0,0,0,0,0,1,0,0,0,1,90906,"Arizona State University, Main Campus, Arizona",-112.0731218,33.4535385
Arizona,Universities and Colleges,University of Arizona,2,0,2,0,0,0,0,2,0,2,NA,NA,42595,"University of Arizona, Arizona",NA,NA
Arizona,Metropolitan Counties,Maricopa,3,3,0,0,0,0,0,3,NA,0,3,0,NA,"Maricopa, Arizona",NA,NA
Arizona,Metropolitan Counties,Pima,1,1,0,0,0,0,0,1,0,1,0,NA,NA,"Pima, Arizona",NA,NA
Arkansas,Cities,Fort Smith,4,3,1,0,0,0,0,4,2,0,0,2,88573,"Fort Smith, Arkansas",-94.39854749999999,35.3859242
Arkansas,Cities,Jacksonville,2,2,0,0,0,0,0,2,0,0,0,2,28684,"Jacksonville, Arkansas",-92.1101458,34.8662005
Arkansas,Cities,Little Rock,1,0,0,0,0,0,1,1,0,1,0,0,198800,"Little Rock, Arkansas",-92.28959479999999,34.7464809
Arkansas,Metropolitan Counties,Sebastian,3,3,0,0,0,0,0,3,0,1,0,2,NA,"Sebastian, Arkansas",-94.315422,35.2260397
Arkansas,Nonmetropolitan Counties,Sevier,2,2,0,0,0,0,0,2,0,0,2,0,NA,"Sevier, Arkansas",-94.27436279999999,34.0346222
California,Cities,Adelanto,2,1,0,1,0,0,0,2,0,1,1,0,33479,"Adelanto, California",-117.409215,34.5827699
California,Cities,Alameda,3,3,0,0,0,0,0,3,0,1,0,2,79597,"Alameda, California",-122.2416355,37.7652065
California,Cities,Alhambra,1,1,0,0,0,0,0,1,0,0,0,1,86035,"Alhambra, California",-118.1270146,34.095287
California,Cities,Anaheim,1,1,0,0,0,0,0,1,1,0,0,0,353504,"Anaheim, California",-117.9143012,33.8365932
California,Cities,Antioch,2,2,0,0,0,0,0,2,0,0,2,0,112090,"Antioch, California",-121.805789,38.0049214
California,Cities,Arcata,2,2,0,0,0,0,0,2,0,0,1,1,17913,"Arcata, California",-124.0828396,40.8665166
California,Cities,Azusa,2,2,0,0,0,0,0,2,2,0,0,0,50393,"Azusa, California",-117.9075627,34.1336186
California,Cities,Bakersfield,8,8,0,0,0,0,0,8,0,3,2,3,378788,"Bakersfield, California",-119.0187125,35.3732921
California,Cities,Baldwin Park,1,0,0,1,0,0,0,1,1,0,0,0,77400,"Baldwin Park, California",NA,NA
California,Cities,Bellflower,1,0,0,1,0,0,0,1,1,0,0,0,78806,"Bellflower, California",-118.1170117,33.8816818
California,Cities,Berkeley,13,9,2,2,0,0,0,13,5,3,2,3,122651,"Berkeley, California",-122.272747,37.8715926
California,Cities,Beverly Hills,1,1,0,0,0,0,0,1,0,0,1,0,35018,"Beverly Hills, California",NA,NA
California,Cities,Brea,1,0,0,1,0,0,0,1,0,1,0,0,42465,"Brea, California",-117.9002918,33.916475
California,Cities,Buena Park,3,2,1,0,0,0,0,3,0,0,2,1,83768,"Buena Park, California",-117.9981387,33.8674044
California,Cities,Burbank,1,1,0,0,0,0,0,1,0,0,1,0,105720,"Burbank, California",-118.3089661,34.1808392
California,Cities,Calabasas,3,3,0,0,0,0,0,3,1,0,2,0,24492,"Calabasas, California",-118.6614809,34.1367208
California,Cities,Camarillo,1,1,0,0,0,0,0,1,0,1,0,0,68072,"Camarillo, California",NA,NA
California,Cities,Campbell,1,0,1,0,0,0,0,1,0,1,0,0,41457,"Campbell, California",-121.9499568,37.2871651
California,Cities,Capitola,1,1,0,0,0,0,0,1,0,0,0,1,10241,"Capitola, California",NA,NA
California,Cities,Central Marin,2,2,0,0,0,0,0,2,0,1,1,0,35265,"Central Marin, California",-122.5300763,37.9385128
California,Cities,Cerritos,1,0,0,1,0,0,0,1,0,0,1,0,50159,"Cerritos, California",-118.0647871,33.8583483
California,Cities,Chico,3,3,0,0,0,0,0,3,0,1,0,2,91122,"Chico, California",-121.8374777,39.7284944
California,Cities,Chino,3,2,0,1,0,0,0,3,0,1,1,1,87081,"Chino, California",NA,NA
California,Cities,Chino Hills,1,1,0,0,0,0,0,1,1,0,0,0,78990,"Chino Hills, California",-117.7325848,33.9898188
California,Cities,Chula Vista,5,1,2,2,0,0,0,5,1,1,3,0,270175,"Chula Vista, California",NA,NA
California,Cities,Citrus Heights,2,1,0,1,0,0,0,2,1,0,0,1,87811,"Citrus Heights, California",-121.2810611,38.7071247
California,Cities,Claremont,9,7,1,1,0,0,0,9,1,0,1,7,36553,"Claremont, California",NA,NA
California,Cities,Clayton,2,0,0,2,0,0,0,2,0,2,0,0,12057,"Clayton, California",NA,NA
California,Cities,Clearlake,1,1,0,0,0,0,0,1,0,0,0,1,15165,"Clearlake, California",NA,NA
California,Cities,Clovis,1,1,0,0,0,0,0,1,0,0,1,0,105865,"Clovis, California",NA,NA
California,Cities,Coalinga,1,0,0,1,0,0,0,1,1,0,0,0,16282,"Coalinga, California",-120.3601496,36.139678
California,Cities,Compton,1,0,0,0,0,0,1,1,0,0,1,0,98861,"Compton, California",NA,NA
California,Cities,Concord,3,1,0,2,0,0,0,3,1,0,0,2,129903,"Concord, California",NA,NA
California,Cities,Culver City,1,0,0,1,0,0,0,1,0,1,0,0,39880,"Culver City, California",NA,NA
California,Cities,Cupertino,3,2,1,0,0,0,0,3,0,0,3,0,60948,"Cupertino, California",NA,NA
California,Cities,Danville,1,0,1,0,0,0,0,1,1,0,0,0,44897,"Danville, California",-121.9999606,37.8215929
California,Cities,Davis,8,5,1,1,0,0,1,8,2,0,1,5,68087,"Davis, California",NA,NA
California,Cities,Desert Hot Springs,1,0,0,1,0,0,0,1,0,1,0,0,28573,"Desert Hot Springs, California",NA,NA
California,Cities,Downey,1,1,0,0,0,0,0,1,0,1,0,0,114704,"Downey, California",NA,NA
California,Cities,East Palo Alto,1,0,0,1,0,0,0,1,0,0,0,1,29957,"East Palo Alto, California",NA,NA
California,Cities,Eastvale,1,0,1,0,0,0,0,1,0,1,0,0,60115,"Eastvale, California",NA,NA
California,Cities,Elk Grove,1,1,0,0,0,0,0,1,1,0,0,0,169742,"Elk Grove, California",-121.3716178,38.4087993
California,Cities,El Segundo,2,2,0,0,0,0,0,2,1,0,1,0,17113,"El Segundo, California",-118.4164652,33.9191799
California,Cities,Encinitas,1,1,0,0,0,0,0,1,0,0,0,1,63597,"Encinitas, California",NA,NA
California,Cities,Escondido,1,1,0,0,0,0,0,1,0,1,0,0,152897,"Escondido, California",-117.086421,33.1192068
California,Cities,Fairfield,3,1,1,1,0,0,0,3,2,0,1,0,114521,"Fairfield, California",-122.0399663,38.24935809999999
California,Cities,Farmersville,1,0,1,0,0,0,0,1,0,0,1,0,10812,"Farmersville, California",NA,NA
California,Cities,Folsom,1,0,1,0,0,0,0,1,0,1,0,0,77245,"Folsom, California",-121.1760583,38.6779591
California,Cities,Fort Bragg,3,1,1,1,0,0,0,3,0,2,1,0,7292,"Fort Bragg, California",NA,NA
California,Cities,Fremont,1,1,0,0,0,0,0,1,1,0,0,0,235881,"Fremont, California",-121.9885719,37.5482697
