"State","Agency_Type","Agency_name","Total_incidents_bias_motivation","Bias_Motivation_Race_Ethnicity_Ancestry","Bias_Motivation_Religion","Bias_Motivation_Sexual_orientation","Bias_Motivation_Disability","Bias_Motivation_Gender","Bias_Motivation_Gender_Identity","Total_incidents_Q1_to_Q4","No_of_incidents_Q1","No_of_incidents_Q2","No_of_incidents_Q3","No_of_incidents_Q4","Population"
"California","Cities","Desert Hot Springs",1,0,0,1,0,0,0,1,0,1,0,0,"28,573"
"California","Cities","Downey",1,1,0,0,0,0,0,1,0,1,0,0,"114,704"
"California","Cities","East Palo Alto",1,0,0,1,0,0,0,1,0,0,0,1,"29,957"
"California","Cities","Eastvale",1,0,1,0,0,0,0,1,0,1,0,0,"60,115"
"California","Cities","Elk Grove",1,1,0,0,0,0,0,1,1,0,0,0,"169,742"
"California","Cities","El Segundo",2,2,0,0,0,0,0,2,1,0,1,0,"17,113"
"California","Cities","Encinitas",1,1,0,0,0,0,0,1,0,0,0,1,"63,597"
"California","Cities","Escondido",1,1,0,0,0,0,0,1,0,1,0,0,"152,897"
"California","Cities","Fairfield",3,1,1,1,0,0,0,3,2,0,1,0,"114,521"
"California","Cities","Farmersville",1,0,1,0,0,0,0,1,0,0,1,0,"10,812"
"California","Cities","Folsom",1,0,1,0,0,0,0,1,0,1,0,0,"77,245"
"California","Cities","Fort Bragg",3,1,1,1,0,0,0,3,0,2,1,0,"7,292"
"California","Cities","Fremont",1,1,0,0,0,0,0,1,1,0,0,0,"235,881"
"California","Cities","Fresno",13,7,3,3,0,0,0,13,3,3,4,3,"524,796"
"California","Cities","Fullerton",2,1,0,1,0,0,0,2,1,0,0,1,"141,968"
"California","Cities","Garden Grove",2,1,1,0,0,0,0,2,1,0,0,1,"176,230"
"California","Cities","Glendale",2,1,1,0,0,0,0,2,0,1,0,1,"202,903"
"California","Cities","Hanford",1,0,1,0,0,0,0,1,0,1,0,0,"55,973"
"California","Cities","Hawaiian Gardens",1,0,0,0,0,0,1,1,0,1,0,0,"14,654"
"California","Cities","Hawthorne",1,0,1,0,0,0,0,1,0,0,0,1,"89,299"
"California","Cities","Hayward",2,1,1,0,0,0,0,2,0,0,1,1,"161,122"
"California","Cities","Highland",1,1,0,0,0,0,0,1,0,0,1,0,"55,184"
"California","Cities","Hollister",1,0,0,1,0,0,0,1,0,0,1,0,"37,953"
"California","Cities","Huntington Beach",6,3,3,0,0,0,0,6,1,1,3,1,"204,071"
"California","Cities","Huntington Park",1,0,0,1,0,0,0,1,1,0,0,0,"59,692"
"California","Cities","Irvine",2,2,0,0,0,0,0,2,1,0,0,1,"266,663"
"California","Cities","Jurupa Valley",1,1,0,0,0,0,0,1,0,1,0,0,"101,316"
"California","Cities","Kingsburg",1,1,0,0,0,0,0,1,1,0,0,0,"11,905"
"California","Cities","Laguna Beach",1,1,0,0,0,0,0,1,0,0,0,1,"23,486"
"California","Cities","La Habra",1,1,0,0,0,0,0,1,0,1,0,0,"62,483"
"California","Cities","Lake Elsinore",2,1,0,1,0,0,0,2,1,1,0,0,"63,907"
"California","Cities","Lakewood",4,3,0,1,0,0,0,4,2,0,1,1,"81,921"
"California","Cities","La Mesa",3,2,1,0,0,0,0,3,0,0,1,2,"60,681"
"California","Cities","La Mirada",2,0,2,0,0,0,0,2,0,2,0,0,"49,715"
"California","Cities","Lancaster",8,5,0,2,0,0,1,8,1,4,1,2,"161,963"
"California","Cities","La Puente",1,0,0,1,0,0,0,1,1,0,0,0,"40,928"
"California","Cities","Loma Linda",1,1,0,0,0,0,0,1,0,1,0,0,"24,190"
"California","Cities","Long Beach",8,2,2,3,0,0,1,8,2,0,3,3,"476,476"
"California","Cities","Los Angeles",227,112,43,58,0,1,13,227,55,56,52,64,"4,007,905"
"California","Cities","Malibu",2,2,0,0,0,0,0,2,1,0,0,1,"13,030"
"California","Cities","Mammoth Lakes",1,1,0,0,0,0,0,1,0,1,0,0,"7,891"
"California","Cities","Manteca",5,5,0,0,0,0,0,5,1,1,3,0,"77,104"
"California","Cities","Merced",2,0,0,1,0,0,1,2,0,0,1,1,"83,106"
"California","Cities","Modesto",11,6,4,1,0,0,0,11,2,4,2,3,"212,880"
"California","Cities","Montclair",2,1,1,0,0,0,0,2,0,1,0,1,"39,085"
"California","Cities","Monterey",1,1,0,0,0,0,0,1,0,0,0,1,"28,506"
"California","Cities","Mountain View",1,0,1,0,0,0,0,1,1,0,0,0,"81,726"
"California","Cities","Murrieta",1,0,0,0,0,1,0,1,0,0,0,1,"111,043"
"California","Cities","Napa",1,0,0,1,0,0,0,1,0,0,0,1,"81,115"
"California","Cities","National City",1,1,0,0,0,0,0,1,1,0,0,0,"61,550"
"California","Cities","Newark",1,1,0,0,0,0,0,1,0,1,0,0,"45,893"
"California","Cities","Norco",2,2,0,0,0,0,0,2,1,0,0,1,"26,132"
"California","Cities","Norwalk",1,1,0,0,0,0,0,1,0,0,1,0,"107,453"
"California","Cities","Novato",2,1,1,0,0,0,0,2,0,0,0,2,"56,263"
"California","Cities","Oakland",9,3,3,3,0,0,0,9,3,2,2,2,"424,998"
"California","Cities","Oceanside",7,2,2,3,0,0,0,7,1,3,1,2,"177,340"
"California","Cities","Orange",1,1,0,0,0,0,0,1,0,1,0,0,"141,841"
"California","Cities","Oxnard",6,4,1,1,0,0,0,6,2,1,1,2,"209,048"
